STT,Thuong hieu,Loai,Noi dung,Nguon (URL),Ngay bao cao
1,"Viện thẩm mỹ KangJin Sejung","TIN XAU","Thẩm mỹ viện KangJin tiếp tục bị xử phạt vi phạm quảng cáo (dùng ngôn từ 'số 1', 'nhất', 'duy nhất' không có cơ sở). Theo QĐ 223/QĐXPVPHC ngày 6/6/2024, Sở Y tế TP.HCM phạt Công ty CP KangJin Việt Nam 30 triệu đồng.","https://sohuutritue.net.vn/tham-my-vien-kangjin-tiep-tuc-bi-xu-phat-d149698.html",25/06/2026
1,"Viện thẩm mỹ KangJin Sejung","TIN XAU","Thẩm mỹ viện KangJin quảng cáo dịch vụ y tế trái phép, không được Sở Y tế xác nhận nội dung trước khi quảng cáo. Vi phạm lặp lại từ 2020-2024.","https://dichvuyduoc.net/tham-my-vien-kangjin-vi-pham/",25/06/2026
1,"Viện thẩm mỹ KangJin Sejung","BAI VIET MOI","KangJin Sejung tham gia tài trợ chương trình 'Trả lại thanh xuân' mùa 4 và tiếp tục giữ danh hiệu 'Top 10 thương hiệu mạnh ASEAN'.","https://kangjinsejung.com.vn/",25/06/2026
2,"Thanh Hằng Beauty Medi","TIN XAU","Thẩm mỹ Thanh Hằng Beauty Medi (169 Bùi Thị Xuân, HN) bị Sở Y tế HN xử phạt 8 triệu đồng (QĐ 248/QĐ-XPVPHC ngày 28/7/2022) do người hành nghề thực hiện không đúng thời gian đăng ký được phê duyệt.","https://suckhoeviet.org.vn/tham-my-thanh-hang-beauty-medi-bi-so-y-te-xu-phat-do-vi-pham-trong-kham-chua-benh-801.html",25/06/2026
2,"Thanh Hằng Beauty Medi","TIN XAU","Thanh Hằng Beauty quảng cáo thuốc khi chưa được Bộ Y tế cấp phép.","https://giaoduc.net.vn/thanh-hang-beauty-ngang-nhien-quang-cao-thuoc-khi-chua-duoc-bo-y-te-cap-phep-post167616.gd",25/06/2026
2,"Thanh Hằng Beauty Medi","TIN XAU","Chuỗi Thanh Hằng Beauty Medi: Vỏ bọc hào nhoáng đang che phủ bức tranh tài chính ảm đạm - nghi vấn tài chính của công ty.","https://www.dnse.com.vn/senses/tin-tuc/chuoi-thanh-hang-beauty-medi-vo-boc-hao-nhoang-dang-che-phu-buc-tranh-tai-chinh-am-dam-33490005",25/06/2026
3,"Lavender By Chang","TIN XAU","Lavender By Chang bị phạt 57 triệu đồng (07/2024): ghi sai tên khoa trong giấy phép, quảng cáo sản phẩm đặc biệt không được phê duyệt, nhân viên hành nghề không chứng chỉ. Vi phạm lặp lại (2019, 2021, 2023, 2024).","https://kenh14.vn/vien-tham-my-lavender-by-chang-lien-tuc-bi-so-y-te-tphcm-xu-phat-21525042907354422.chn",25/06/2026
3,"Lavender By Chang","TIN XAU","Lavender By Chang bị phạt 30 triệu đồng vì quảng cáo 'lố' - dùng ngôn từ tuyệt đối 'nhất', 'duy nhất', 'số một' không có căn cứ.","https://suckhoeviet.org.vn/vien-tham-my-lavender-by-chang-bi-xu-phat-30-trieu-dong-do-quang-cao-lo-17862.html",25/06/2026
3,"Lavender By Chang","BAI VIET MOI","Lavender By Chang xuất hiện trong danh sách 15 thẩm mỹ viện uy tín tại Hà Nội 2026.","https://lavenderbychang.com/tham-my-vien-uy-tin-tai-ha-noi/",25/06/2026
4,"Bệnh viện thẩm mỹ Kangnam","TIN XAU","BV Thẩm mỹ Kangnam Hà Nội bị phạt 45 triệu đồng vì quảng cáo khám chữa bệnh khi chưa được xác nhận nội dung.","https://hangthat.thuonghieucongluan.com.vn/vi-pham-quang-cao-benh-vien-tham-my-kangnam-ha-noi-bi-phat-45-trieu-dong-a92435.html",25/06/2026
